1000 100
324 763 3231
224 633 2745
447 802 4042
12 558 21
194 554 47
16 744 102
42 528 1194
435 686 1838
246 965 3898
386 613 1620
112 842 1986
79 552 2143
449 818 2658
86 863 2584
107 722 4391
60 999 4487
195 999 4372
108 686 4307
283 610 2731
412 895 1676
397 765 884
437 542 4985
430 713 3889
411 866 4314
500 991 2811
289 524 2964
170 841 3732
411 588 4454
106 550 636
405 661 803
241 637 2240
20 840 207
67 961 254
124 723 3084
473 932 2992
436 565 3985
209 864 4076
490 949 4428
180 998 2872
327 526 4254
400 608 1000
220 984 3415
116 509 1164
270 812 1042
208 578 1038
171 948 936
157 973 950
218 630 3323
277 968 4780
112 930 3615
179 727 4773
232 572 1171
462 677 3263
241 803 3394
247 529 4593
124 718 4066
263 823 1008
327 690 2737
386 671 355
487 728 100
33 860 3325
76 559 74
379 593 2602
178 682 2907
488 579 1540
479 996 1790
238 852 2145
97 574 2898
158 934 65
135 705 3663
219 666 2237
68 879 4078
298 749 2024
349 924 2231
335 974 4251
361 962 770
373 641 3870
199 655 2245
314 801 398
355 872 3383
23 690 2250
406 934 3502
149 949 319
204 557 2045
471 818 4449
83 701 3262
134 561 854
95 944 2449
380 668 1198
342 610 58
309 842 1686
212 552 2796
335 850 359
283 686 3924
3 539 4149
145 523 77
425 852 1444
99 602 1458
263 982 353
90 579 2956
